08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@e14195f
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@29bb8cbe
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@29bb8cbe
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5e83ce1a
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5e83ce1a
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@1ff79b8d
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1ff79b8d
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@94e5f4b
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@94e5f4b
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@20c3292
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@20c3292
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@3c828782
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@79fb3fe6
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@79fb3fe6
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@79fb3fe6
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@44d2339c
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@44d2339c
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@44d2339c
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7ca2557f
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@408dbc92
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@408dbc92
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@408dbc92
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@245df9d6
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@245df9d6
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@245df9d6
08.11.2019 09:51:12.308 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@618e5e3a
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@36d7e738
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@271eb631
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@271eb631
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@763b3ec5
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@2807d209
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@2807d209
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@1bb22ff8
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@1bb22ff8
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@6079d2a3
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@4883ffcc
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@5a48cfde
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@61b8b368
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@61b8b368
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@48cc67c9
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@6ccbae4b
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@2831ce97
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@4753f3
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@2b1e8e1d
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@1a16d4c3
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@3c75e460
08.11.2019 09:51:12.323 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@697f0d6
08.11.2019 09:51:12.339 [http-bio-8888-exec-1] WARN   o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000402: Using Hibernate built-in connection pool (not for production use!)
08.11.2019 09:51:12.339 [http-bio-8888-exec-1] INFO   o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000401: using driver [org.h2.Driver] at URL [jdbc:h2:tcp://localhost/~/test]
08.11.2019 09:51:12.339 [http-bio-8888-exec-1] INFO   o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000046: Connection properties: {user=sa, password=sa}
